State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes,Enrollment_Date,Newly_Eligible_Percentage
North Dakota ,108320,25212.0,23836.0,1376.0,2026,2,2025,4,,2025-04-01,94.54228145327622
Ohio ,3037654,714944.0,714750.0,194.0,2026,2,2025,4,,2025-04-01,99.97286500760899
Oklahoma ,969494,235290.0,235290.0,0.0,2026,2,2025,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021.",2025-04-01,100.0
Oregon ,1300781,685349.0,570155.0,115194.0,2026,2,2025,4,,2025-04-01,83.19192119635397
Pennsylvania ,2995946,840149.0,790733.0,49416.0,2026,2,2025,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015.",2025-04-01,94.11818617888017
Puerto Rico ,1335250,611281.0,,611281.0,2026,2,2025,4,,2025-04-01,
Rhode Island ,309141,76995.0,76995.0,0.0,2026,2,2025,4,,2025-04-01,100.0
South Carolina ,1267351,,,,2026,2,2025,4,,2025-04-01,
South Dakota ,135056,30542.0,30542.0,0.0,2026,2,2025,4,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023.",2025-04-01,100.0
Tennessee ,1510503,,,,2026,2,2025,4,,2025-04-01,
Texas ,4379653,,,,2026,2,2025,4,,2025-04-01,
Utah ,341292,83774.0,82575.0,1199.0,2026,2,2025,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020.",2025-04-01,98.5687683529496
Vermont ,166730,63191.0,0.0,63191.0,2026,2,2025,4,,2025-04-01,0.0
Virgin Islands ,20772,8064.0,,8064.0,2026,2,2025,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015.",2025-04-01,
Virginia ,1758703,653814.0,653814.0,0.0,2026,2,2025,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019.",2025-04-01,100.0
Washington ,1833304,610816.0,586432.0,24384.0,2026,2,2025,4,,2025-04-01,96.00796311818944
West Virginia ,512062,171001.0,171001.0,0.0,2026,2,2025,4,,2025-04-01,100.0
Wisconsin ,1227396,,,,2026,2,2025,4,,2025-04-01,
Wyoming ,66982,,,,2026,2,2025,4,,2025-04-01,
Totals,84073972,20869019.0,16688425.0,4180594.0,2026,2,2025,4,,2025-04-01,79.96746277340588
Alabama ,1067820,,,,2026,2,2025,5,,2025-05-01,
Alaska ,218650,68485.0,68483.0,2.0,2026,2,2025,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015.",2025-05-01,99.99707965247865
Amer. Samoa ,31150,,,,2026,2,2025,5,,2025-05-01,
Arizona ,1966205,522113.0,112260.0,409853.0,2026,2,2025,5,,2025-05-01,21.5010926753404
Arkansas ,804112,234696.0,227242.0,7454.0,2026,2,2025,5,,2025-05-01,96.82397654838599
California ,14844142,5049148.0,5028957.0,20191.0,2026,2,2025,5,,2025-05-01,99.60011075135846
Colorado ,1205853,381741.0,368974.0,12767.0,2026,2,2025,5,,2025-05-01,96.65558585533122
Connecticut ,1065842,317420.0,290007.0,27413.0,2026,2,2025,5,,2025-05-01,91.36380820364187
Delaware ,227484,68331.0,9285.0,59046.0,2026,2,2025,5,,2025-05-01,13.588268867717435
Dist. Of Col. ,263760,120281.0,77442.0,42839.0,2026,2,2025,5,,2025-05-01,64.38423358635195
Florida ,4053575,,,,2026,2,2025,5,,2025-05-01,
Georgia ,1969487,,,,2026,2,2025,5,,2025-05-01,
Guam ,37663,5149.0,,5149.0,2026,2,2025,5,,2025-05-01,
Hawaii ,405116,135188.0,17585.0,117603.0,2026,2,2025,5,,2025-05-01,13.007811344202146
Idaho ,344877,89418.0,89418.0,0.0,2026,2,2025,5,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020.",2025-05-01,100.0
Illinois ,2845309,819568.0,734109.0,85459.0,2026,2,2025,5,,2025-05-01,89.57267731292583
Indiana ,1781919,540704.0,540704.0,0.0,2026,2,2025,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015.",2025-05-01,100.0
Iowa ,597137,179720.0,165090.0,14630.0,2026,2,2025,5,,2025-05-01,91.8595593144892
Kansas ,379456,,,,2026,2,2025,5,,2025-05-01,
Kentucky ,1353616,468143.0,468143.0,0.0,2026,2,2025,5,,2025-05-01,100.0
Louisiana ,1819685,758243.0,521735.0,236508.0,2026,2,2025,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016.",2025-05-01,68.80841629926027
Maine ,373845,98110.0,78060.0,20050.0,2026,2,2025,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018.",2025-05-01,79.56375496891245
Maryland ,1288205,331252.0,331252.0,0.0,2026,2,2025,5,,2025-05-01,100.0
Massachusetts ,1961526,352010.0,0.0,352010.0,2026,2,2025,5,,2025-05-01,0.0
Michigan ,2354227,724881.0,678757.0,46124.0,2026,2,2025,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014.",2025-05-01,93.63702455989328
Minnesota ,1162646,216061.0,216061.0,0.0,2026,2,2025,5,,2025-05-01,100.0
Mississippi ,650323,,,,2026,2,2025,5,,2025-05-01,
Missouri ,1201758,349743.0,349743.0,0.0,2026,2,2025,5,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021.",2025-05-01,100.0
Montana ,209214,75913.0,75913.0,0.0,2026,2,2025,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016.",2025-05-01,100.0
N. Mariana Islands ,18258,,,,2026,2,2025,5,,2025-05-01,
Nebraska ,340923,70597.0,68415.0,2182.0,2026,2,2025,5,,2025-05-01,96.90921710554274
Nevada ,722468,290022.0,290022.0,0.0,2026,2,2025,5,,2025-05-01,100.0
New Hampshire ,182838,61363.0,60376.0,987.0,2026,2,2025,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014.",2025-05-01,98.39153887521796
New Jersey ,1660953,566036.0,566036.0,0.0,2026,2,2025,5,,2025-05-01,100.0
New Mexico ,812278,250700.0,250700.0,0.0,2026,2,2025,5,,2025-05-01,100.0
New York ,6879680,1999153.0,285333.0,1713820.0,2026,2,2025,5,,2025-05-01,14.27269448611487
