State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ",1086326,,,,2026,2,2025,4,
"Alaska ",226450,71043.0,71042.0,1.0,2026,2,2025,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ",31150,,,,2026,2,2025,4,
"Arizona ",2169318,638010.0,125956.0,512054.0,2026,2,2025,4,
"Arkansas ",805793,236894.0,229563.0,7331.0,2026,2,2025,4,
"California ",14895674,5067235.0,5047011.0,20224.0,2026,2,2025,4,
"Colorado ",1203654,383473.0,370859.0,12614.0,2026,2,2025,4,
"Connecticut ",1067865,318285.0,290854.0,27431.0,2026,2,2025,4,
"Delaware ",228537,69081.0,9413.0,59668.0,2026,2,2025,4,
"Dist. Of Col. ",265085,120939.0,77917.0,43022.0,2026,2,2025,4,
"Florida ",4079039,,,,2026,2,2025,4,
"Georgia ",1966022,,,,2026,2,2025,4,
"Guam ",37569,5083.0,,5083.0,2026,2,2025,4,
"Hawaii ",408729,136996.0,18051.0,118945.0,2026,2,2025,4,
"Idaho ",348824,91143.0,91143.0,0.0,2026,2,2025,4,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ",2875269,828731.0,743151.0,85580.0,2026,2,2025,4,
"Indiana ",1826825,563849.0,563849.0,0.0,2026,2,2025,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ",600253,183341.0,168873.0,14468.0,2026,2,2025,4,
"Kansas ",385532,,,,2026,2,2025,4,
"Kentucky ",1358245,471879.0,471879.0,0.0,2026,2,2025,4,
"Louisiana ",1835869,768643.0,531461.0,237182.0,2026,2,2025,4,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ",374782,99014.0,78441.0,20573.0,2026,2,2025,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ",1297478,337605.0,337605.0,0.0,2026,2,2025,4,
"Massachusetts ",1989606,370629.0,0.0,370629.0,2026,2,2025,4,
"Michigan ",2367629,733613.0,685367.0,48246.0,2026,2,2025,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ",1171414,218541.0,218541.0,0.0,2026,2,2025,4,
"Mississippi ",652170,,,,2026,2,2025,4,
"Missouri ",1204301,348821.0,348821.0,0.0,2026,2,2025,4,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ",210326,76067.0,76067.0,0.0,2026,2,2025,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ",19014,,,,2026,2,2025,4,
"Nebraska ",343763,71309.0,69230.0,2079.0,2026,2,2025,4,
"Nevada ",725280,292554.0,292554.0,0.0,2026,2,2025,4,
"New Hampshire ",182894,61671.0,60689.0,982.0,2026,2,2025,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ",1673044,569866.0,569866.0,0.0,2026,2,2025,4,
"New Mexico ",821521,255141.0,255141.0,0.0,2026,2,2025,4,
"New York ",6905170,2008355.0,288172.0,1720183.0,2026,2,2025,4,
"North Carolina ",3157162,660786.0,660786.0,0.0,2026,2,2025,4,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023."
"North Dakota ",108320,25212.0,23836.0,1376.0,2026,2,2025,4,
"Ohio ",3037654,714944.0,714750.0,194.0,2026,2,2025,4,
"Oklahoma ",969494,235290.0,235290.0,0.0,2026,2,2025,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ",1300781,685349.0,570155.0,115194.0,2026,2,2025,4,
"Pennsylvania ",2995946,840149.0,790733.0,49416.0,2026,2,2025,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ",1335250,611281.0,,611281.0,2026,2,2025,4,
"Rhode Island ",309141,76995.0,76995.0,0.0,2026,2,2025,4,
"South Carolina ",1267351,,,,2026,2,2025,4,
"South Dakota ",135056,30542.0,30542.0,0.0,2026,2,2025,4,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ",1510503,,,,2026,2,2025,4,
"Texas ",4379653,,,,2026,2,2025,4,
"Utah ",341292,83774.0,82575.0,1199.0,2026,2,2025,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ",166730,63191.0,0.0,63191.0,2026,2,2025,4,
"Virgin Islands ",20772,8064.0,,8064.0,2026,2,2025,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ",1758703,653814.0,653814.0,0.0,2026,2,2025,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ",1833304,610816.0,586432.0,24384.0,2026,2,2025,4,
"West Virginia ",512062,171001.0,171001.0,0.0,2026,2,2025,4,
"Wisconsin ",1227396,,,,2026,2,2025,4,
"Wyoming ",66982,,,,2026,2,2025,4,
Totals,84073972,20869019.0,16688425.0,4180594.0,2026,2,2025,4,
"Alabama ",1067820,,,,2026,2,2025,5,
"Alaska ",218650,68485.0,68483.0,2.0,2026,2,2025,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ",31150,,,,2026,2,2025,5,
"Arizona ",1966205,522113.0,112260.0,409853.0,2026,2,2025,5,
"Arkansas ",804112,234696.0,227242.0,7454.0,2026,2,2025,5,
"California ",14844142,5049148.0,5028957.0,20191.0,2026,2,2025,5,
"Colorado ",1205853,381741.0,368974.0,12767.0,2026,2,2025,5,
"Connecticut ",1065842,317420.0,290007.0,27413.0,2026,2,2025,5,
"Delaware ",227484,68331.0,9285.0,59046.0,2026,2,2025,5,
"Dist. Of Col. ",263760,120281.0,77442.0,42839.0,2026,2,2025,5,
"Florida ",4053575,,,,2026,2,2025,5,
"Georgia ",1969487,,,,2026,2,2025,5,
"Guam ",37663,5149.0,,5149.0,2026,2,2025,5,
"Hawaii ",405116,135188.0,17585.0,117603.0,2026,2,2025,5,
"Idaho ",344877,89418.0,89418.0,0.0,2026,2,2025,5,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ",2845309,819568.0,734109.0,85459.0,2026,2,2025,5,
"Indiana ",1781919,540704.0,540704.0,0.0,2026,2,2025,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ",597137,179720.0,165090.0,14630.0,2026,2,2025,5,
"Kansas ",379456,,,,2026,2,2025,5,
"Kentucky ",1353616,468143.0,468143.0,0.0,2026,2,2025,5,
"Louisiana ",1819685,758243.0,521735.0,236508.0,2026,2,2025,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ",373845,98110.0,78060.0,20050.0,2026,2,2025,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ",1288205,331252.0,331252.0,0.0,2026,2,2025,5,
"Massachusetts ",1961526,352010.0,0.0,352010.0,2026,2,2025,5,
"Michigan ",2354227,724881.0,678757.0,46124.0,2026,2,2025,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ",1162646,216061.0,216061.0,0.0,2026,2,2025,5,
